input,output
吴茱萸二升生姜半斤附子一枚(炮去皮破八片)当归三两桂枝三两(去皮)芍药三两细辛三两甘草二两(炙)木通二两大枣二十五枚(劈)方剂制备：右十味，以水六升，清酒六升，和煮取三升，温服一升，日三服。,当归四逆加吴茱萸生姜附子汤方
吴茱萸二升生姜半斤附子一枚(炮去皮破八片)当归三两桂枝三两(去皮)芍药三两细辛三两甘草二两(炙)木通二两大枣二十五枚(劈)方剂熬制：右十味，以水六升，清酒六升，和煮取三升，温服一升，日三服。,当归四逆加吴茱萸生姜附子汤方
吴茱萸二升生姜半斤附子一枚(炮去皮破八片)当归三两桂枝三两(去皮)芍药三两细辛三两甘草二两(炙)木通二两大枣二十五枚(劈)方剂煎煮：右十味，以水六升，清酒六升，和煮取三升，温服一升，日三服。,当归四逆加吴茱萸生姜附子汤方
吴茱萸二升生姜半斤附子一枚(炮去皮破八片)当归三两桂枝三两(去皮)芍药三两细辛三两甘草二两(炙)木通二两大枣二十五枚(劈)方剂调制：右十味，以水六升，清酒六升，和煮取三升，温服一升，日三服。,当归四逆加吴茱萸生姜附子汤方
吴茱萸二升生姜半斤附子一枚(炮去皮破八片)当归三两桂枝三两(去皮)芍药三两细辛三两甘草二两(炙)木通二两大枣二十五枚(劈)方剂熬煮：右十味，以水六升，清酒六升，和煮取三升，温服一升，日三服。,当归四逆加吴茱萸生姜附子汤方
吴茱萸二升生姜半斤附子一枚(炮去皮破八片)当归三两桂枝三两(去皮)芍药三两细辛三两甘草二两(炙)木通二两大枣二十五枚(劈)方剂配方：右十味，以水六升，清酒六升，和煮取三升，温服一升，日三服。,当归四逆加吴茱萸生姜附子汤方
吴茱萸二升生姜半斤附子一枚(炮去皮破八片)当归三两桂枝三两(去皮)芍药三两细辛三两甘草二两(炙)木通二两大枣二十五枚(劈)方剂药材：右十味，以水,当归四逆加吴茱萸生姜附子汤方
"方剂组成：白术一两
附子一枚（炮）
甘草二两（炙）
生姜一两半
大枣六枚（劈）
制备方法：右五味，以水三升，煮取一升，去滓，分温三服，一服觉身痹，半日许再服，三服都尽，其人如冒状，勿怪，即术附并走皮中，逐水气，未得除耳。",白术附子汤方
白术一两，附子一枚（炮），甘草二两（炙），生姜一两半，大枣六枚（劈）。制成方剂，以水三升煮取一升，分温三服，可祛除身痹。,白术附子汤方
白术一两，附子一枚（炮），甘草二两（炙），生姜一两半，大枣六枚（劈）。水煮三升取一升，分三次服用，可治疗冒状症状。,白术附子汤方
白术一两，附子一枚（炮），甘草二两（炙），生姜一两半，大枣六枚（劈）。用水三升煮取一升，分三次服用，可逐水气，祛除耳痹。,白术附子汤方
白术一两，附子一枚（炮），甘草二两（炙），生姜一两半，大枣六枚（劈）。煮水三升取一升，分温三服，可治疗身痹症状。,白术附子汤方
白术一两，附子一枚（炮），甘草二两（炙），生姜一两半，大枣六枚（劈）。用水三升煮取一升，分三次服用，可减轻冒状症状。,白术附子汤方
白术一两，附子一枚（炮），甘草二两（炙），生姜一两半，大枣六枚（劈）。煮水三升取一升，分温三服，可逐水气，祛除身痹。,白术附子汤方
白术一两，附子一枚（炮），甘草二两（炙），生姜一两半，大枣六枚（劈）。水煮三升取一升，分三次服用，可治疗冒状症状。,白术附子汤方
白术一两，附子一枚（炮），甘草二两（炙），生姜一两半，大枣六枚（劈）。用水三升煮取一升，分温三服，可逐水气，祛除耳痹。,白术附子汤方
白术一两，附子一枚（炮），甘草二两（炙），生姜一两半，大枣六枚（劈）。煮水三升取一升，分三次服用，可治疗身痹症状。,白术附子汤方
白术一两，附子一枚（炮），甘草二两（炙），生姜一两半，大枣六枚（劈）。用水三升煮取一升，分三次服用，可减轻冒状症状。,白术附子汤方
"方剂组成：乌头一两 蜀椒一两 附子五钱 干姜一两 赤石脂一两
制备方法：右五味，末之，蜜为丸，如梧桐子大，先食，服一丸，日三服，不知稍增，以知为度。",乌头赤石脂丸方
乌头一两蜀椒一两附子五钱干姜一两赤石脂一两，右五味，末之，蜜为丸，如梧桐子大，先食，服一丸，日三服，不知稍增，以知为度。,乌头赤石脂丸方
乌头一两蜀椒一两附子五钱干姜一两赤石脂一两，磨成粉末，加蜜制成丸状，大小如梧桐子，先服一丸，每日三次，不可过量，以知为准。,乌头赤石脂丸方
乌头一两蜀椒一两附子五钱干姜一两赤石脂一两，研磨细末，加蜜调成丸状，大小如梧桐子，先服一丸，每日三次，不可增加剂量，以知为度。,乌头赤石脂丸方
乌头一两蜀椒一两附子五钱干姜一两赤石脂一两，研磨成末，用蜜搓成丸状，大小如梧桐子，先服一丸，每日三次，不可随意增加，以知为准。,乌头赤石脂丸方
乌头一两蜀椒一两附子五钱干姜一两赤石脂一两，研磨成粉末，用蜜搓成丸状，大小如梧桐子，先服一丸，每日三次，不可过量，以知为度。,乌头赤石脂丸方
乌头一两蜀椒一两附子五钱干姜一两赤石脂一两，研磨成粉末，加蜜调成丸状，大小如梧桐子，先服一丸，每日三次，不可随意增加剂量，以知为准。,乌头赤石脂丸方
乌头一两蜀椒一两附子五钱干姜一两赤石脂一两，研磨细末，加蜜制成丸状，大小如梧桐子，先服一丸，每日三次，不可随意增加，以知为准。,乌头赤石脂丸方
乌头一两蜀椒一两附子五钱干姜一两赤石脂一两，研磨成末，用蜜搓成丸状，大小如梧桐子，先服一丸，每日三次，不可过量，以知为度。,乌头赤石脂丸方
乌头一两蜀椒一两附子五钱干姜一两赤石脂一两，研磨成粉末，用蜜搓成丸状，大小如梧桐子，先服一丸，每日三次，不可增加剂量，以知为准。,乌头赤石脂丸方
乌头一两蜀椒一两附子五钱干姜一两赤石脂一两，研磨成末，加蜜调成丸状，大小如梧桐子，先服一丸，每日三次，不可随意增加，以知为准。,乌头赤石脂丸方
"方剂组成：柴胡半斤
黄芩三两
芍药三两
半夏半升（洗）
生姜五两（切）
枳实四枚（炙）
大枣十二枚（劈）
大黄二两
制备方法：右八味，以水一斗二升，煮取六升，去滓，再煎，温服二升，日三服。",大柴胡汤方
柴胡半斤，黄芩三两，芍药三两，半夏半升（洗），生姜五两（切），枳实四枚（炙），大枣十二枚（劈），大黄二两。右八味，以水一斗二升，煮取六升，去滓，再煎，温服二升，日三服。,大柴胡汤方
柴胡半斤，黄芩三两，芍药三两，半夏半升（洗），生姜五两（切），枳实四枚（炙），大枣十二枚（劈），大黄二两。煎药八味，水一斗二升，煮取六升，去渣，再煎，温服二升，每日三次。,大柴胡汤方
柴胡半斤，黄芩三两，芍药三两，半夏半升（洗），生姜五两（切），枳实四枚（炙），大枣十二枚（劈），大黄二两。配方中包含八味药材，用水一斗二升煎煮，取六升，去渣，再煎，温服二升，每日三次。,大柴胡汤方
柴胡半斤，黄芩三两，芍药三两，半夏半升（洗），生姜五两（切），枳实四枚（炙），大枣十二枚（劈），大黄二两。共八味药材，水一斗二升煎至六升，去渣再煎，温服二升，每日三次。,大柴胡汤方
柴胡半斤，黄芩三两，芍药三两，半夏半升（洗），生姜五两（切），枳实四枚（炙），大枣十二枚（劈），大黄二两。八味药材煎煮后，去渣再煎，温服二升，每日三次。,大柴胡汤方
柴胡半斤，黄芩三两，芍药三两，半夏半升（洗），生姜五两（切），枳实四枚（炙），大枣十二枚（劈），大黄二两。水一斗二升煎煮六升，去渣再煎，温服二升，每日三次。,大柴胡汤方
柴胡半斤，黄芩三两，芍药三两，半夏半升（洗），生姜五两（切），枳实四枚（炙），大枣十二枚（劈），大黄二两。煎煮八味药材，水一斗二升，取六升，去渣再煎，温服二升，每日三次。,大柴胡汤方
柴胡半斤，黄芩三两，芍药三两，半夏半升（洗），生姜五两（切），枳实四枚（炙），大枣十二枚（劈），大黄二两。水一斗二升煎煮至六升，去渣再煎，温服二升，每日三次。,大柴胡汤方
柴胡半斤，黄芩三两，芍药三两，半夏半升（洗），生姜五两（,大柴胡汤方
"方剂组成：诃黎勒十枚(煨)
制备方法：右一味为散，粥饮和，顿服之。",诃黎勒散方
诃黎勒十枚煨散，煮粥饮服，一次十枚。,诃黎勒散方
诃黎勒十枚煨，煮散粥饮，一次服十枚。,诃黎勒散方
十枚诃黎勒煨，煮粥饮服，一次十枚。,诃黎勒散方
十枚煨诃黎勒，煮散粥饮，一次服十枚。,诃黎勒散方
诃黎勒十枚煨，煮散粥饮，十枚一次服。,诃黎勒散方
十枚诃黎勒煨散，煮粥饮服，一次十枚。,诃黎勒散方
十枚煨诃黎勒，煮散粥饮，十枚一次服。,诃黎勒散方
诃黎勒十枚煨，煮散粥饮，十枚一次服。,诃黎勒散方
十枚煨诃黎勒，煮粥饮服，十枚一次服。,诃黎勒散方
诃黎勒十枚煨散，煮散粥饮，十枚一次服。,诃黎勒散方
"方剂组成：竹叶两把
粳米半升
半夏半升（洗）
石膏一斤
人参三两
麦门冬一升
甘草二两（炙）
制备方法：右七味，以水一斗，先煮六味，取六升，去滓，纳粳米，煮取米熟，汤成，温服一升，日三服。",竹叶石膏汤方
竹叶两把，粳米半升，半夏半升（洗），石膏一斤，人参三两，麦门冬一升，甘草二两（炙）。右七味，以水一斗，先煮六味，取六升，去滓，纳粳米，煮取米熟，汤成，温服一升，日三服。,竹叶石膏汤方
竹叶两把，粳米半升，半夏半升（洗），石膏一斤，人参三两，麦门冬一升，甘草二两（炙）。以水一斗煮六味，取六升，去滓，加粳米煮熟，取汤温服一升，每日三次。,竹叶石膏汤方
竹叶两把，粳米半升，半夏半升（洗），石膏一斤，人参三两，麦门冬一升，甘草二两（炙）。将七味加水一斗煮成汤，取六升，去渣，加入粳米煮熟，取汤温服一升，每日三次。,竹叶石膏汤方
竹叶两把，粳米半升，半夏半升（洗），石膏一斤，人参三两，麦门冬一升，甘草二两（炙）。将七味加水一斗煮六味，取六升，去渣，加入粳米煮熟，取汤温服一升，每日三次。,竹叶石膏汤方
竹叶两把，粳米半升，半夏半升（洗），石膏一斤，人参三两，麦门冬一升，甘草二两（炙）。将七味加水一斗煮六味，取六升，去渣，加入粳米煮熟，取汤温服一升，每日三次。,竹叶石膏汤方
竹叶两把，粳米半升，半夏半升（洗），石膏一斤，人参三两，麦门冬一升，甘草二两（炙）。将七味加水一斗煮六味，取六升，去渣，加入粳米煮熟，取汤温服一升，每日三次。,竹叶石膏汤方
竹叶两把，粳米半升，半夏半升（洗），石膏一斤，人参三两，麦门冬一升，甘草二两（炙）。将七味加水一斗煮六味，取六升，去渣，加入粳米煮熟，取汤温服一升，每日三次。,竹叶石膏汤方
竹叶两把，粳米半升，半夏半升（洗），石膏一斤，人参三两，麦门冬一升，甘草二两（炙）。将七味加水一斗煮六味，取六升，去渣，加入粳米煮熟，取汤温服一升，每日三次。,竹叶石膏汤方
竹叶两把，粳米半升，半夏半升（洗），石,竹叶石膏汤方
"方剂组成：地黄六两
黄柏三两
秦皮二两
茯苓三两
泽泻一两
制备方法：右五味，以水八升，煮取三升，去滓，温服一升，日三服。",地黄黄柏秦皮茯苓泽泻汤方
地黄六两，黄柏三两，秦皮二两，茯苓三两，泽泻一两，右五味，以水八升，煮取三升，去滓，温服一升，日三服。,地黄黄柏秦皮茯苓泽泻汤方
地黄六两，黄柏三两，秦皮二两，茯苓三两，泽泻一两，按右五味，用水八升煮取三升，去滓，温服一升，每日服三次。,地黄黄柏秦皮茯苓泽泻汤方
地黄六两，黄柏三两，秦皮二两，茯苓三两，泽泻一两，配方按右五味，水八升煮取三升，去滓，温服一升，每日服三次。,地黄黄柏秦皮茯苓泽泻汤方
地黄六两，黄柏三两，秦皮二两，茯苓三两，泽泻一两，用水八升煮取三升，去滓，温服一升，按右五味，每日服三次。,地黄黄柏秦皮茯苓泽泻汤方
地黄六两，黄柏三两，秦皮二两，茯苓三两，泽泻一两，水八升煮取三升，去滓，温服一升，右五味，每日三次。,地黄黄柏秦皮茯苓泽泻汤方
地黄六两，黄柏三两，秦皮二两，茯苓三两，泽泻一两，右五味，水八升煮取三升，去滓，温服一升，每日三次。,地黄黄柏秦皮茯苓泽泻汤方
地黄六两，黄柏三两，秦皮二两，茯苓三两，泽泻一两，水八升煮取三升，去滓，温服一升，右五味，每日服三次。,地黄黄柏秦皮茯苓泽泻汤方
地黄六两，黄柏三两，秦皮二两，茯苓三两，泽泻一两，右五味，水八升煮取三升，去滓，温服一升，每日服三次。,地黄黄柏秦皮茯苓泽泻汤方
地黄六两，黄柏三两，秦皮二两，茯苓三两，泽泻一两，右五味，水八升煮取三升，去滓，温服一升，每日三次。,地黄黄柏秦皮茯苓泽泻汤方
地黄六两，黄柏三两，秦皮二两，茯苓三两，泽泻一两，右五味，水八升煮取三升，去滓，温服一升，日服三次。,地黄黄柏秦皮茯苓泽泻汤方
"方剂组成：枳实七枚 白术二两
制备方法：右二味，以水五升，煮取三升，去滓，分温三服。",枳实白术汤方
枳实七枚、白术二两，水五升煮取三升，去滓，分温三服。,枳实白术汤方
枳实七枚、白术二两，水五升煮取三升，去渣，分温三服。,枳实白术汤方
枳实七枚、白术二两，水五升煮至三升，去渣，分温三服。,枳实白术汤方
枳实七枚、白术二两，水五升煮取三升，滤去渣，分温三服。,枳实白术汤方
枳实七枚、白术二两，水五升煮至三升，去渣，分温三服。,枳实白术汤方
枳实七枚、白术二两，水五升煮取三升，过滤，分温三服。,枳实白术汤方
枳实七枚、白术二两，水五升煮至三升，去渣，分温三服。,枳实白术汤方
枳实七枚、白术二两，水五升煮取三升，过滤，分温三服。,枳实白术汤方
枳实七枚、白术二两，水五升煮至三升，去渣，分温三服。,枳实白术汤方
枳实七枚、白术二两，水五升煮取三升，过滤，分温三服。,枳实白术汤方
"方剂组成：硝石(熬黄) 矾石(烧) 各等兮
制备方法：右二味，为散，大麦粥汁和服方寸匙，日三服，大便黑，小便黄，是其候也。",硝石矾石散方
硝石(熬黄)矾石(烧)各等兮，右二味，为散，大麦粥汁和服方寸匙，日三服，大便黑，小便黄，是其候也。,硝石矾石散方
熬黄硝石烧矾石各等兮，右二味，为散，大麦粥汁和服方寸匙，日三服，大便黑，小便黄，是其候也。,硝石矾石散方
硝石(熬黄)矾石(烧)各等兮，右二味，为散，大麦粥汁和服方寸匙，日三服，大便黑，小便黄，是其候也。,硝石矾石散方
熬黄硝石烧矾石各等兮，右二味，为散，大麦粥汁和服方寸匙，日三服，大便黑，小便黄，是其候也。,硝石矾石散方
各等兮，熬黄硝石烧矾石，右二味，为散，大麦粥汁和服方寸匙，日三服，大便黑，小便黄，是其候也。,硝石矾石散方
各等兮，熬黄硝石烧矾石，右二味，为散，大麦粥汁和服方寸匙，日三服，大便黑，小便黄，是其候也。,硝石矾石散方
各等兮，硝石(熬黄)矾石(烧)，右二味，为散，大麦粥汁和服方寸匙，日三服，大便黑，小便黄，是其候也。,硝石矾石散方
各等兮，硝石(熬黄)矾石(烧)，右二味，为散，大麦粥汁和服方寸匙，日三服，大便黑，小便黄，是其候也。,硝石矾石散方
熬黄硝石烧矾石各等兮，右二味，为散，大麦粥汁和服方寸匙，日三服，大便黑，小便黄，是其候也。,硝石矾石散方
熬黄硝石烧矾石各等兮，右二味，为散，大麦粥汁和服方寸匙，日三服，大便黑，小便黄，是其候也。,硝石矾石散方
"方剂组成：麻黄一两
杏仁二十枚（去皮尖）
薏苡一两
甘草一两（炙）
制备方法：右四味，以水六升，先煮麻黄，减二升，去上沫，纳诸药，煮取三升，去滓，温服一升，日三服。",麻黄杏仁薏苡甘草汤方
麻黄一两，杏仁二十枚（去皮尖），薏苡一两，甘草一两（炙），水六升，先煮麻黄，减二升，去上沫，纳诸药，煮取三升，去滓，温服一升，日三服。,麻黄杏仁薏苡甘草汤方
麻黄一两，杏仁二十枚（去皮尖），薏苡一两，甘草一两（炙），水六升，先煮麻黄，减二升，去上沫，纳诸药，煮取三升，去滓，温服一升，日三服。,麻黄杏仁薏苡甘草汤方
麻黄一两，杏仁二十枚（去皮尖），薏苡一两，甘草一两（炙），水六升，先煮麻黄，减二升，去上沫，纳诸药，煮取三升，去滓，温服一升，日三服。,麻黄杏仁薏苡甘草汤方
麻黄一两，杏仁二十枚（去皮尖），薏苡一两，甘草一两（炙），水六升，先煮麻黄，减二升，去上沫，纳诸药，煮取三升，去滓，温服一升，日三服。,麻黄杏仁薏苡甘草汤方
麻黄一两，杏仁二十枚（去皮尖），薏苡一两，甘草一两（炙），水六升，先煮麻黄，减二升，去上沫，纳诸药，煮取三升，去滓，温服一升，日三服。,麻黄杏仁薏苡甘草汤方
麻黄一两，杏仁二十枚（去皮尖），薏苡一两，甘草一两（炙），水六升，先煮麻黄，减二升，去上沫，纳诸药，煮取三升，去滓，温服一升，日三服。,麻黄杏仁薏苡甘草汤方
麻黄一两，杏仁二十枚（去皮尖），薏苡一两，甘草一两（炙），水六升，先煮麻黄，减二升，去上沫，纳诸药，煮取三升，去滓，温服一升，日三服。,麻黄杏仁薏苡甘草汤方
麻黄一两，杏仁二十枚（去皮尖），薏苡一两，甘草一两（炙），水六升，先煮麻黄，减二升，去上沫，纳诸药，煮取三升，去滓，温服一升，日三服。,麻黄杏仁薏苡甘草汤方
麻黄一两，杏仁二十枚（去皮尖），薏苡一两，甘草一两（炙），水六升，先煮麻黄，减二升，去上沫，纳诸药，煮取三升，去滓，温服一升，日三服。,麻黄杏仁薏苡甘草汤方
麻黄一两，杏仁二十枚（去皮尖），薏苡一两，甘草一两（炙），水六升，先煮麻黄，减二升，去上沫，纳诸药，煮取三升，去滓，,麻黄杏仁薏苡甘草汤方
"方剂组成：人参三两干姜三两甘草三两白术三两
制备方法：右四味，捣筛，蜜和为丸，如鸡子黄大，以沸汤数合和一丸，研碎温眼，日三服，夜二服，腹中未热，可益至三四丸。",理中丸方
人参三两干姜三两甘草三两白术三两，捣筛后蜜和为丸，如鸡子黄大，以沸汤数合和一丸，研碎温眼，日三服，夜二服，腹中未热，可益至三四丸。,理中丸方
三两人参、三两干姜、三两甘草、三两白术，捣筝后蜜和为丸，如鸡子黄大，以沸汤数合和一丸，研碎温眼，日三服，夜二服，腹中未热，可益至三四丸。,理中丸方
人参、干姜、甘草、白术各三两，捣筛后蜜和为丸，如鸡子黄大，以沸汤数合和一丸，研碎温眼，日三服，夜二服，腹中未热，可益至三四丸。,理中丸方
三两人参、三两干姜、三两甘草、三两白术，捣筝后蜜和为丸，如鸡子黄大，以沸汤数合和一丸，研碎温眼，日三服，夜二服，腹中未热，可益至三四丸。,理中丸方
人参三两、干姜三两、甘草三两、白术三两，捣筛后蜜和为丸，如鸡子黄大，以沸汤数合和一丸，研碎温眼，日三服，夜二服，腹中未热，可益至三四丸。,理中丸方
人参三两、干姜三两、甘草三两、白术三两，捣筛后蜜和为丸，如鸡子黄大，以沸汤数合和一丸，研碎温眼，日三服，夜二服，腹中未热，可益至三四丸。,理中丸方
人参三两、干姜三两、甘草三两、白术三两，捣筛后蜜和为丸，如鸡子黄大，以沸汤数合和一丸，研碎温眼，日三服，夜二服，腹中未热，可益至三四丸。,理中丸方
人参三两、干姜三两、甘草三两、白术三两，捣筛后蜜和为丸，如鸡子黄大，以沸汤数合和一丸，研碎温眼，日三服，夜二服，腹中未热，可益至三四丸。,理中丸方
人参三两、干姜三两、甘草三两、白术三两，捣筛后蜜和为丸，如鸡子黄大，以沸汤数合和一丸，研碎温眼，日三服，夜二服，腹中未热，可益至三四丸。,理中丸方
人参三两、干姜三两、甘草三两、白术三两，捣筛后蜜和为丸，如鸡子黄大，以沸汤数合和一丸，研碎温眼，日三服，夜二服，腹中未热，可益至三四丸。,理中丸方
"方剂组成：柴胡半斤 桂枝三两 干姜二两 括萎根四两 黄芩三两 牡蛎二两(熬) 甘草二两(炙)
制备方法：右七味，以水一斗二升，煮取六升，去滓，再煎取三升，温服一升，日三服。初服微烦，复服，汗出便愈。",柴胡桂枝干姜汤方
柴胡半斤、桂枝三两、干姜二两、括萎根四两、黄芩三两、牡蛎二两(熬)、甘草二两(炙)，水一斗二升煮取六升，再煎取三升，温服一升，每日三次，初服微烦，再服汗出便愈。,柴胡桂枝干姜汤方
柴胡半斤、桂枝三两、干姜二两、括萎根四两、黄芩三两、牡蛎二两(熬)、甘草二两(炙)，水煮煎后取三升，温服一升，每日三次，服药后可出汗。,柴胡桂枝干姜汤方
柴胡半斤、桂枝三两、干姜二两、括萎根四两、黄芩三两、牡蛎二两(熬)、甘草二两(炙)，用水煎煮后取三升，分三次温服，初服可能会有轻微不适，继续服用会出汗后症状缓解。,柴胡桂枝干姜汤方
柴胡半斤、桂枝三两、干姜二两、括萎根四两、黄芩三两、牡蛎二两(熬)、甘草二两(炙)，水煮熬后取三升，分三次温服，初服可能会有些不适，再服后会出汗，症状逐渐减轻。,柴胡桂枝干姜汤方
柴胡半斤、桂枝三两、干姜二两、括萎根四两、黄芩三两、牡蛎二两(熬)、甘草二两(炙)，水煮煎取三升，分成三次温服，初服可能会有轻微不适，再服后会出汗，症状改善。,柴胡桂枝干姜汤方
柴胡半斤、桂枝三两、干姜二两、括萎根四两、黄芩三两、牡蛎二两(熬)、甘草二两(炙)，水煮熬取三升，分三次温服，初服可能会有不适感，再服后出汗症状减轻。,柴胡桂枝干姜汤方
柴胡半斤、桂枝三两、干姜二两、括萎根四两、黄芩三两、牡蛎二两(熬)、甘草二两(炙)，水煮熬后取三升，分三次温服，初服可能会有轻微不适，再服后会出汗，症状有所改善。,柴胡桂枝干姜汤方
柴胡半斤、桂枝三两、干姜二两、括萎根四两、黄芩三两、牡蛎二两(熬)、甘草二两(炙)，水煮熬取三升，分三次温服，初服可能会有不适感，再服后出汗症状减轻。,柴胡桂枝干姜汤方
柴胡半斤、桂枝三两、干姜二两、括萎根四两、黄芩三两、牡蛎二两(熬)、甘草二两(炙)，水煮煎后取三升，分成三次温服，初服,柴胡桂枝干姜汤方
"方剂组成：当归三两 生姜五两 羊肉一斤
制备方法：右三味，以水八升，煮取三升，温服七合，日三服。寒多者加生姜成一斤；痛多而呕者，加橘皮二两，白术一两；加生姜者，亦加水五升，煮取三升二合，分温三服。",当归生姜羊肉汤方
当归三两、生姜五两、羊肉一斤，右三味，以水八升，煮取三升，温服七合，日三服。寒多者加生姜成一斤；痛多而呕者，加橘皮二两，白术一两；加生姜者，亦加水五升，煮取三升二合，分温三服。,当归生姜羊肉汤方
三两当归、五两生姜、一斤羊肉，用水八升煮取三升，温服七合，每日三次。寒症加生姜一斤；疼痛并呕吐者，加橘皮两两，白术一两；加生姜者，加水五升，煮取三升二合，分三次温服。,当归生姜羊肉汤方
当归三两、生姜五两、羊肉一斤，煮水八升取三升，温服七合，每日三次。若寒症重者，加生姜一斤；疼痛并呕吐者，加橘皮两两，白术一两；加生姜者，加水五升，煮取三升二合，分三次温服。,当归生姜羊肉汤方
三两当归、五两生姜、一斤羊肉，水八升煮取三升，温服七合，每日三次。若有寒症加生姜一斤；疼痛且呕吐者，加橘皮两两、白术一两；加生姜者，加水五升，煮取三升二合，分三次温服。,当归生姜羊肉汤方
当归三两、生姜五两、羊肉一斤，水八升煮取三升，温服七合，每日三次。对于寒症较重者，加生姜一斤；若有疼痛和呕吐，加橘皮两两、白术一两；加生姜的，加水五升，煮取三升二合，分三次温服。,当归生姜羊肉汤方
三两当归、五两生姜、一斤羊肉，水八升煮取三升，温服七合，每日三次。若有寒症重者，加生姜一斤；疼痛并呕吐者，加橘皮两两、白术一两；加生姜者，加水五升，煮取三升二合，分三次温服。,当归生姜羊肉汤方
当归三两、生姜五两、羊肉一斤，水八升煮取三升，温服七合，每日三次。寒症重者加生姜一斤；疼痛并呕吐者，加橘皮两两、白术一两；加生姜者，加水五升，煮取三升二合，分三次温服。,当归生姜羊肉汤方
三两当归、五两生姜、一斤羊肉，水八升煮取三升，温服七合，每日三次。寒症重者加生姜一斤；疼痛并呕吐者，加橘皮两两、白术一两；加生姜者，加水五升，煮取三升二合，分三次温服。,当归生姜羊肉汤方
当归三两、生姜五两、羊肉一,当归生姜羊肉汤方
"方剂组成：桂枝三两（去皮）
芍药三两
甘草二两（炙）生姜三两
大枣十二枚（劈）
附子一枚（炮去皮破八片）
制备方法：右六味，以水七升，煮取三升，去滓，温服一升，日三服。将息如桂枝汤法。",枝枝加附子汤方
桂枝三两，芍药三两，甘草二两（炙），生姜三两，大枣十二枚（劈），附子一枚（炮去皮破八片）。右六味，以水七升，煮取三升，去滓，温服一升，日三服。将息如桂枝汤法。,枝枝加附子汤方
桂枝三两，芍药三两，甘草二两（炙），生姜三两，大枣十二枚（劈），附子一枚（炮去皮破八片）。六味同煮，水七升煮至三升，去渣，温服一升，每日分三次服用。服用方法同桂枝汤。,枝枝加附子汤方
桂枝三两，芍药三两，甘草二两（炙），生姜三两，大枣十二枚（劈），附子一枚（炮去皮破八片）。将六味加水七升煮至三升，去渣，温服一升，每日三次。服法同桂枝汤。,枝枝加附子汤方
桂枝三两，芍药三两，甘草二两（炙），生姜三两，大枣十二枚（劈），附子一枚（炮去皮破八片）。六味煮水七升至三升，去渣，温服一升，每日三次。服法如桂枝汤。,枝枝加附子汤方
桂枝三两，芍药三两，甘草二两（炙），生姜三两，大枣十二枚（劈），附子一枚（炮去皮破八片）。六味加水煮至三升，去渣，温服一升，每日三次。服法同桂枝汤。,枝枝加附子汤方
桂枝三两，芍药三两，甘草二两（炙），生姜三两，大枣十二枚（劈），附子一枚（炮去皮破八片）。煮六味七升水至三升，去渣，温服一升，每日分三次。服法如桂枝汤。,枝枝加附子汤方
桂枝三两，芍药三两，甘草二两（炙），生姜三两，大枣十二枚（劈），附子一枚（炮去皮破八片）。将六味煮水七升至三升，去渣，温服一升，每日三次。服法同桂枝汤。,枝枝加附子汤方
桂枝三两，芍药三两，甘草二两（炙），生姜三两，大枣十二枚（劈），附子一枚（炮去皮破八片）。右六味，水七升煮至三升，去渣，温服一升，每日三次。服法将息如桂枝汤。,枝枝加附子汤方
桂枝三两，芍药三两，甘草二两（炙），生姜三两，大枣十二枚（劈），附子一枚（炮去皮破八片）。煮六味七升水至三升，去渣，温服一升，每日分三次。服法如桂枝汤。,枝枝加附子汤方
桂枝三两,枝枝加附子汤方
"方剂组成：人参二两 附子一枚 干姜二枚(炮) 半夏半升 阿胶二两 柏叶三两
制备方法：右六味，以水六升，煮取二升，去滓，纳胶烊消，温服一升，日再服。",人参附子汤方
人参二两附子一枚干姜二枚(炮)半夏半升阿胶二两柏叶三两,人参附子汤方
人参两两附子一枚干姜两枚(炮)半夏半升阿胶两两柏叶三两,人参附子汤方
人参二两附子一枚干姜二枚(炮)半夏半升阿胶二两柏叶三两,人参附子汤方
"方剂组成：知母六两
石膏一斤碎（棉裹）
甘草二两（炙）
粳米六合
桂枝一两
人参三两
芍药二两
制备方法：右七味，以水八升，煮米熟汤成，温服一升，日三服。",白虎加桂枝人参芍药汤方
知母六两、石膏一斤碎（棉裹）、甘草二两（炙）、粳米六合、桂枝一两、人参三两、芍药二两，煮米熟汤成，温服一升，日三服。,白虎加桂枝人参芍药汤方
知母六两、石膏一斤碎（棉裹）、甘草二两（炙）、粳米六合、桂枝一两、人参三两、芍药二两，水八升煮熟，温服一升，每日三次。,白虎加桂枝人参芍药汤方
知母六两、石膏一斤碎（棉裹）、甘草二两（炙）、粳米六合、桂枝一两、人参三两、芍药二两，水八升煮熟，饮用一升，每日三次。,白虎加桂枝人参芍药汤方
知母六两、石膏一斤碎（棉裹）、甘草二两（炙）、粳米六合、桂枝一两、人参三两、芍药二两，水八升煮熟，服用一升，每日服用三次。,白虎加桂枝人参芍药汤方
知母六两、石膏一斤碎（棉裹）、甘草二两（炙）、粳米六合、桂枝一两、人参三两、芍药二两，水八升煮熟，温热服用一升，每日服用三次。,白虎加桂枝人参芍药汤方
知母六两、石膏一斤碎（棉裹）、甘草二两（炙）、粳米六合、桂枝一两、人参三两、芍药二两，水八升煮熟，热汤一升，每日服三次。,白虎加桂枝人参芍药汤方
