input,output
"方剂组成：生姜四两 甘草三两(炙)人参三两 干姜一两 黄芩三两 半夏半升 黄连一两 大枣十二枚(劈)
制备方法：右八味，以水一斗，煮取六升，去滓，再煎取三升，温服一升，日三服。",方剂名称：生姜泻心汤方
"方剂组成：甘草二两(炙) 干姜三两 附子大者一枚(生用) 猪胆汁半合 人参二两
制备方法：右五味，以水三升，先煮四味，取一升，去滓，纳猪胆汁搅匀，分温再服。",方剂名称：通脉四逆加猪胆汁汤方
"方剂组成：桂枝三两(去皮)茯苓二两枳实二两芍药三两甘草一两(炙)
制备方法：右五味，以水六升，煮取三升，去滓，温服一升，日三服。",方剂名称：桂枝茯苓枳实芍药甘草汤方
"方剂组成：柏叶三两 阿胶二两 干姜二两(炮) 牡丹三两
制备方法：右四味，以水三升，先煮三味，取二升，去滓，纳胶烊消，温服一升，日再服。",方剂名称：柏叶阿胶汤方
"方剂组成：麻黄二两（去节）
茯苓三两
白术三两
防己一两
赤小豆一升
制备方法：右五味，以水七升，先煮麻黄，再沸，去上沫，纳诸药，煮取三升，去滓，温服一升，日三服。",方剂名称：麻黄茯苓汤方
"方剂组成：干姜一两（炮）
附子一枚（破八片炮）
制备方法：右二味，以水三升，煮取一升，去滓，顿服。",方剂名称：干姜附子汤方
"方剂组成：蜀漆(洗去腥) 云母(烧二日夜) 龙骨各等分
制备方法：右三味，杵为散，未发前以浆水和服半钱匙。",方剂名称：蜀漆散方
"方剂组成：柴胡半斤 黄芩三两 人参三两 半夏半升(洗) 甘草三两(炙) 生姜三两(切) 大枣十二枚(劈) 茯苓三两 白术三两
制备方法：右九味，以水一斗二升，煮取六升，去滓，再煎取三升，温服一升，日三服。",方剂名称：小柴胡加茯苓白术汤方
"方剂组成：吴茱萸一升
人参三两
生姜六两
大枣十二枚（劈）
制备方法：右四味，以水七升，煮取二升，去滓，温服七合，日三服。",方剂名称：吴茱萸汤方
"方剂组成：黄连三两
黄芩二两
制备方法：右二味，以水二升，煮取一升，分温再服。",方剂名称：黄连黄芩泻心汤方
"方剂组成：葛根四两
麻黄三两（去节）
桂枝二两（去皮）
芍药二两
甘草二两（炙）
生姜三两（切）
大枣十二枚（劈）
制备方法：右七味，以水一斗，先煮麻黄葛根，减二升，去上沫，纳诸药，煮取三升，去滓，温服一升，复取微似汗，不须啜粥，余如桂枝法将息及禁忌，诸汤皆仿此。",方剂名称：葛根汤方
"方剂组成：厚朴五两 麻黄四两 石膏如鸡子大 杏仁半升 半夏半升 五味子半升
制备方法：右六味，以水一斗，先煮麻黄，去沫，纳诸药，煮取三升，去滓，分温三服。",方剂名称：厚朴麻黄汤方
"方剂组成：桔梗三分巴豆一分贝母三分
制备方法：右三味为散，更于臼中杵之，以白饮和服，强人半钱匙，羸者减之。病在膈上必吐，在膈下必利；不利进热粥一杯，利不止进冷粥一杯。",方剂名称：白散方
"方剂组成：黄连四两
芍药二两
黄芩二两
阿胶三两
鸡子黄三枚
制备方法：右五味，以水六升，先煮三物，取二升，去滓，纳阿胶烊消，小冷，纳鸡子黄，搅令相得，温服七合，日三服。",方剂名称：黄连阿胶汤方
"方剂组成：黄芪三两 当归半两
制备方法：右二味，以水五升，煮取三升，去滓，温服一升，日三服。",方剂名称：黄芪当归汤方
"方剂组成：大黄二两黄连一两黄芩一两附子一枚(炮去皮破别煮取汁)
制备方法：右四味，切三昧，以麻沸汤二升渍之。须臾绞去滓，纳附子汁，分温再服。",方剂名称：附子泻心汤方
"方剂组成：大黄三两 桃仁二十枚 （庶／虫）虫二十枚(去足)
制备方法：右三味，末之，炼蜜和丸，以酒一升，水一升，煮取八合，顿服之，血下如豚肝愈。",方剂名称：下瘀血汤方
"方剂组成：麻黄三两（去节）
桂枝二两（去皮）
甘草一两（炙）
杏仁七十枚
（去皮尖）
制备方法：右四味，以水九升，先煮麻黄减二升，去上沫，纳诸药，煮取二升半，去滓，温服八合，覆取微似汗，不须粥饮，余如桂枝法将息，桂枝汤见后卷。",方剂名称：麻黄汤方
"方剂组成：括萎实一枚(捣) 薤白三两 半夏半升 白酒一斗
制备方法：右四味，同煮取四升，去滓，温服一升，日三服。",方剂名称：薤白括蒌半夏汤方
"方剂组成：滑石一斤 乱发一斤(烧) 白鱼一斤
制备方法：右三味杵为散，饮服方寸匙，日三服。",方剂名称：滑石乱发白鱼散方
"方剂组成：薏苡十五两 大附子十枚(炮)
制备方法：右二昧，杵为散，白饮服方寸匙，日三服。",方剂名称：薏苡附子散方
"方剂组成：甘草二两（炙）
芎藭二两
当归二两
黄芩二两
芍药二两
半夏四两
生姜四两
葛根五两
桂枝三两
制备方法：右九味，以水二斗，煮取五升，温服一升，日三服，夜二服。",方剂名称：奔豚汤方
"方剂组成：当归三两 桂枝三两(去皮) 芍药三两 细辛三两 甘草二两(炙) 木通二两 大枣二十五枚(劈) 人参三两 附子一枚(炮去皮破八片)
制备方法：右九味，以水八升，煮取三升，去滓，温服一升，日三服。",方剂名称：当归四逆加人参附子汤方
"方剂组成：茯苓半斤 白术二两 戎盐二枚(弹丸大)
制备方法：右三味，先以水一斗，煮二味，取三升，去滓，纳戎盐，更上微火一二沸化之，分温三服。",方剂名称：茯苓白术戎盐汤方
"方剂组成：地黄八两 薯蓣四两 山茱萸四两 泽泻三两 牡丹皮三两 茯苓三两 桂枝一两 附子一枚(炮)
制备方法：右八味，末之，炼蜜和丸，如梧子大，酒下十五丸，渐加至二十五丸，日再服，白饮下亦可。",方剂名称：肾气丸方
"方剂组成：芍药三两
甘草三两（炙）附子一枚（炮去皮破八片）
制备方法：右三味，以水五升，煮取一升五合，去滓，分温三服。",方剂名称：芍药甘草附子汤方
"方剂组成：白术三两枳实一两半干姜一两白蜜二两
制备方法：右四味，以水六升，先煮三味，去滓，取三升，纳白蜜烊消，温服一升，日三服。",方剂名称：白术枳实干姜白蜜汤方
"方剂组成：桂枝四两（去皮）
甘草二两（炙）
制备方法：右二味，以水三升，煮取一升，去滓，顿服。",方剂名称：桂枝甘草汤方
"方剂组成：猪苓一两
茯苓一两
滑石一两
泽泻一两
阿胶一两
人参三两
制备方法：右六味，以水四升，先煮五味，取二升，纳阿胶烊消，温服七合，日三服。",方剂名称：猪苓加人参汤方
"方剂组成：柴胡半斤 桂枝三两 干姜二两 括萎根四两 黄芩三两 甘草二两(炙) 牡蛎二两(熬)
制备方法：右七味，以水一斗，煮取六升，去滓，再煎取三升，温服一升，日三服，初服微烦，再服，汗出便愈。",方剂名称：柴胡桂姜汤方
"方剂组成：竹叶一把
石膏半斤
杏仁三十枚（去皮尖）
甘草二两
制备方法：右四味，以水五升，煮取三升，去滓，温服一升，日三服。",方剂名称：竹叶石膏杏子甘草汤方
"方剂组成：甘草四两(炙) 生姜三两(切) 人参二两 地黄半斤 桂枝三两 麦门冬半升 阿胶二两 麻仁半升 大枣十二枚(劈)
制备方法：右九味，以清酒七升，先煮八味，取三升，去滓，纳胶烊消尽，温服一升，日三服。",方剂名称：炙甘草汤方
"方剂组成：桂枝三两
茯苓四两
白术三两
细辛二两
制备方法：右四味，以水六升，煮取二升，去滓，温服一升，日再服。",方剂名称：桂枝茯苓白术细辛汤方
"方剂组成：雄黄一两
制备方法：右一味，为末，筒瓦二枚合之，纳药于中，以火烧烟，向肛薰之。",方剂名称：雄黄散方
"方剂组成：麻黄六两 石膏半斤 甘草二两 生姜三两 大枣十二枚
制备方法：右五味，以水六升，先煮麻黄，去上沫，纳诸药，煮取三升，去滓，分温三服。",方剂名称：越婢汤方
"方剂组成：麻黄六两（去节）
桂枝二两（去皮）
甘草二两（炙）
杏仁四十枚（去皮尖）
生姜三两（切）
大枣十枚（劈）
石膏如鸡子大
附子一枚（炮去皮破八片）
制备方法：右八味，以水九升，先煮麻黄减二升，去上沫，纳诸药，煮取三升，去滓，温服一升，取微似汗，汗出多者温粉粉之，一服汗者，停后服；若复服汗多亡阳，遂虚，恶风烦躁不得眠也。",方剂名称：大青龙加附子汤方
"方剂组成：矾石三分(烧) 杏仁一分
制备方法：右二昧，末之，炼蜜为丸，枣核大，纳脏中，剧者再纳之。",方剂名称：矾石丸方
"方剂组成：白头翁二两 甘草二两 阿胶二两 黄连三两 黄柏三两 秦皮三两
制备方法：右六昧，以水七升，煮取二升半，去滓，纳胶烊消，分温三服。",方剂名称：白头翁加阿胶甘草汤方
"方剂组成：白术 芎藭䓖 蜀椒(去目汗) 牡蛎各等分
制备方法：右四味，杵为散，酒服一钱匙，日三服，夜一服。",方剂名称：白术散方
"方剂组成：栀子十六枚（劈）
黄芩三两
半夏半斤
甘草二两
制备方法：右四味，以水四升，先煮栀子，取二升半，去滓，纳三味，煮取一升，分温再服。",方剂名称：栀子汤方
"方剂组成：麦门冬七升 半夏一升 人参二两 甘草二两(炙) 粳米三合 大枣十二枚
制备方法：右六味，以水一斗二升，煮取六升，去滓，温服一升，日三服，夜三服。",方剂名称：麦门冬汤方
"方剂组成：百合七枚 知母三两
制备方法：右二味，先以水洗百合，渍一宿，当白沫出，去其水，另以泉水二升，煮取一升，去滓，别以泉水二升，煮知母取一升，去滓，后合煎取一升五合，分温再服。",方剂名称：百合知母汤方
"方剂组成：百合七枚 地黄汁一升
制备方法：右二昧，先洗煮百合如上法，去滓，纳地黄汁，煎取一升五合，分温再服，中病勿更服，大便当如漆。",方剂名称：百合地黄汤方
"方剂组成：甘草二两（炙）
芒硝半斤
大黄四两（酒洗）
制备方法：右三味，以水三升，煮二物至一升，取去滓，纳芒硝，更上微火一两沸，温顿服之，以调胃气。",方剂名称：调胃承气汤方
"方剂组成：水蛭二十个（熬）
虻虫二十个（去翅足熬）
桃仁二十五个（去皮尖）
大黄三两（酒洗）
制备方法：右四味，捣分为四丸，以水一升，煮一丸，取七合服之，晬时，当下血；若不下者，更服。",方剂名称：抵当丸方
"方剂组成：百合七枚
地黄汁一升
牡蛎二两
制备方法：右三味，先以水洗百合，渍一宿，当白沫出，去其水，另以泉水二升，煮二味，取一升，去滓，纳地黄汁，煮取一升五合，分温再服。",方剂名称：百合地黄加牡蛎汤方
"方剂组成：升麻二两 蜀椒一两(去汁) 雄黄五钱(研) 当归一两 甘草二两 鳖甲一片(炙)
制备方法：右六味，以水四升，煮取一升，顿服之，不差，再服，取汗。",方剂名称：升麻鳖甲汤方
"方剂组成：大黄四两 黄柏四两 芒硝四两 栀子十五枚
制备方法：右四味，以水六升，先煮三味，取二升，去滓，纳硝，更煮取一升，顿服。",方剂名称：大黄硝石汤方
"方剂组成：黄芪三两 桂枝三两 芍药三两 生姜六两 大枣十二枚
制备方法：右五味，以水六升，煮取二升，温服七合，日三服。",方剂名称：黄芪桂枝五物汤方
"方剂组成：括萎根二两 瞿麦一两 薯蓣二两 附子一枚(炮) 茯苓三两
制备方法：右五味，末之，炼蜜为丸，如梧桐子大，饮服二丸，日三服，不知可增至七八丸，以小便利，腹中温为知。",方剂名称：括蒌瞿麦薯蓣丸方
"方剂组成：鳖甲 柴胡 黄芩 大黄 牡丹 （庶/虫）虫 阿胶
制备方法：右七味，各等分，捣筛，炼蜜为丸，如梧桐子大，每服七丸，日三服，清酒下，不能饮者，白饮亦可。",方剂名称：鳖甲煎丸方
"方剂组成：半夏半升(洗) 黄芩三两 干姜三两 人参三两 甘草三两(炙) 黄连一两 大枣十二枚(劈)
制备方法：右七味，以水一斗，煮取六升，去滓，再煎取三升，温服一升，日三服。",方剂名称：半夏泻心汤方
"方剂组成：麻仁一升
白蜜六合
制备方法：右二味，以水四升，先煮麻仁，取一升五合，去滓，纳蜜，微沸，和合，令小冷，顿服之。",方剂名称：麻仁白蜜煎方
"方剂组成：文蛤五两 麻黄三两 甘草三两 生姜三两 石膏五两 杏仁五十枚 大枣十二枚
制备方法：右七味，以水六升，煮取二升，去滓，温服一升，汗出即愈，若不汗，再服。",方剂名称：文蛤汤方
"方剂组成：文蛤五两 麻黄三两 甘草三两 生姜三两 石膏五两 杏仁五十粒(去皮尖) 大枣十二枚(劈)
制备方法：右七味，为散，以沸汤和一方寸匙，汤用五合，调服，假令汗出已，腹中痛者，与芍药三两",方剂名称：文蛤散方
"方剂组成：地黄六两 芎藭二两 阿胶二两 艾叶三两 当归三两 芍药四两 甘草二两
制备方法：右七味，以水五升，清酒三升，煮六味，取三升，去滓，纳胶烊消，温服一升，日三服。",方剂名称：胶艾汤方
"方剂组成：葶苈三两(熬)括萎实大者一枚(捣)桔梗三两牡丹皮二两
制备方法：右四味，以水六升，煮取三升，去滓，温服一升，日三服。",方剂名称：葶苈括萎桔梗牡丹汤方
"方剂组成：桔梗三两 甘草二两 茯苓三两 泽泻二两
制备方法：右四味，以水五升，煮取三升，去滓，温服一升，日三服。",方剂名称：桔梗甘草茯苓泽泻汤方
"方剂组成：附子大者一枚（炮去皮破八片）
细辛二两
黄连四两
黄芩二两
制备方法：右四味，以水六升，煮取三升，温服一升，日三服。",方剂名称：附子细辛黄连黄芩汤方
"方剂组成：桔梗三两
甘草二两
枳实四枚
芍药三两
制备方法：右四味，以水六升，煮取三升，去滓，温服一升，日三服。",方剂名称：桔梗甘草枳实芍药汤方
"方剂组成：甘草二两 桔梗三两 生姜一两 大枣十枚
制备方法：右四味，以水三升，煮取一升，去滓，温服五合，日再服。",方剂名称：排脓汤方
"方剂组成：黄芩三两
牡丹皮二两
栝蒌实大者一枚（捣）
半夏半升（洗）枳实二枚
制备方法：右五味，以水五升，煮取三升，去滓，温服一升，日三服。",方剂名称：黄芩牡丹皮栝蒌半夏枳实汤方
"方剂组成：黄连一两
石膏一斤碎（棉裹）
半夏半升（洗）
甘草三两
制备方法：右四味，以水六升，煮取三升，去滓，温服一升，日三服。",方剂名称：黄连石膏半夏甘草汤方
"方剂组成：柴胡半斤
黄芩三两
人参三两
栝蒌根四两
黄连三两
牡丹皮四两
甘草三两（炙）
生姜三两
大枣十二枚（劈）
制备方法：右九味，以水一斗二升，煮取三升，去滓，温服一升，日三服。",方剂名称：小柴胡加黄连牡丹汤方
"方剂组成：半夏一升 生姜半斤
制备方法：右二味，以水七升，煮取一升半，去滓，分温再服。",方剂名称：小半夏汤方
"方剂组成：人参三两
石膏一斤碎（棉裹）
竹叶一把
黄连一两
半夏半升（洗）
制备方法：右五味，以水六升，煮取三升，去滓，温服一升，日三服。",方剂名称：人参石膏汤方
"方剂组成：旋覆花三两 葱十四茎 新绛少许
制备方法：右三味，以水三升，煮取一升，顿服。",方剂名称：旋覆花汤方
"方剂组成：厚朴八两大黄四两
制备方法：右二味，以水五升，煮取二升，去滓，温服一升，不差再服。",方剂名称：厚朴大黄汤方
"方剂组成：柴胡半斤 黄芩三两 人参二两 半夏半升(洗) 甘草三两 生姜二两(切) 大枣十二枚(劈) 茯苓四两
制备方法：右八味，以水一斗二升，煮取六升，去滓，再煎，取三升，温服一升，日三服。",方剂名称：小柴胡加茯苓汤方
"方剂组成：灶中黄土半斤 甘草三两 地黄三两 白术三两 附子三两(炮) 阿胶三两 黄芩三两
制备方法：右七味，以水八升，煮取三升，去滓，分温三服。",方剂名称：黄土汤方
"方剂组成：百合一两(炙)滑石二两
制备方法：右二味，为散，饮服方寸匙，日三服，当微利，热除则止后服。",方剂名称：百合滑石散方
"方剂组成：黄连二两 茯苓三两 阿胶一两半 芍药三两 黄芩三两 半夏一升
制备方法：右六昧，以水一斗，先煮五味，取三升，去滓，纳胶烊消，分温三服。若胸中热甚者，加黄连一两，合前成三两；腹满者，加厚朴二两；人虚者，加甘草二两，渴者，去半夏，加括萎根二两。",方剂名称：黄连茯苓汤方
"方剂组成：蜘蛛十四枚(熬) 桂枝一两
制备方法：右二味，为散，以白饮和服方寸匙，日再服，蜜丸亦可。",方剂名称：蜘蛛散方
"方剂组成：桂枝三两 生姜三两 枳实五枚
制备方法：右三昧，以水六升，煮取三升，去滓，分温三服。",方剂名称：桂枝生姜枳实汤方
"方剂组成：酸枣仁二升 甘草一两 知母二两 茯苓二两 芎藭一两
制备方法：右五味，以水八升，煮酸枣仁，得六升，纳诸药，煮取三升，去滓，温服一升，日三服。",方剂名称：酸枣仁汤方
"方剂组成：吴茱萸三两 当归二两 芎藭二两 芍药二两 人参二两 桂枝二两 阿胶二两 牡丹皮二两 甘草二两 生姜二两
制备方法：右十味，以水一斗，煮取三升，去滓，日三服，每服一升，温饮之。",方剂名称：温经汤方
"方剂组成：半夏一升 生姜半斤 茯苓四两
制备方法：右三味，以水七升，煮取二升，去滓，分温再服。",方剂名称：小半夏加茯苓汤方
"方剂组成：紫参半斤 甘草三两
制备方法：右二味，以水五升，先煮紫参取二升，纳甘草，煮取一升半，去滓，分温再服。",方剂名称：紫参汤方
"方剂组成：猪膏半斤 乱发如鸡子大三枚
制备方法：右二味，和膏煎之，发消药成，分再服，病从小便出。",方剂名称：猪膏发煎方
"方剂组成：大黄四两
厚朴六两
甘草三两
制备方法：右三味，以水五升，煮取二升，服一升，得大便利，勿再服。",方剂名称：大黄厚朴甘草汤方
"方剂组成：白术三两茯苓四两半夏一升枳实一两半
制备方法：右四味，以水六升，煮取三升，去滓，分温三服。",方剂名称：白术茯苓半夏枳实汤方
"方剂组成：葱白四茎 干姜一两 附子一枚(生用去皮破八片) 人尿五合 猪胆汁一合
制备方法：右五味，以水三升，先煮三物，取一升，去滓，纳人尿，猪胆汁，和令相得，分温再服，若无胆汁亦可用。",方剂名称：白通加猪胆汁汤方
"方剂组成：桔梗一两 甘草二两
制备方法：右二味，以水三升，煮取二升，去滓，分温再服。",方剂名称：桔梗汤方
"方剂组成：茯苓二两
桂枝二两
甘草一两（炙）
生姜三两（切）
制备方法：右四味，以水四升，煮取二升，去滓，分温三服。",方剂名称：茯苓甘草汤方
"方剂组成：猪苓十八铢（去皮）
泽泻一两六铢
茯苓十八铢
桂枝半两（去皮）
白术十八铢
制备方法：右五味，捣为散，以白饮和服方寸匙，日三服，多饮暖水，汗出愈。",方剂名称：五苓散方
"方剂组成：知母六两
石膏一斤
甘草二两（炙）
粳米六合
制备方法：右四味，以水一斗，煮米熟，汤成去滓，温服一升，日三服。",方剂名称：白虎汤方
"方剂组成：即桂枝汤三合，麻黄汤三合，并为六合，顿服之，将息如桂枝汤法。
制备方法：",方剂名称：桂枝麻黄各半汤方
"方剂组成：枳实四枚
橘皮二两
桔梗三两
半夏半升（洗）
生姜三两（切）
甘草二两（炙）
制备方法：右六味，以水八升，煮取三升，去滓，温服一升，日三服。",方剂名称：枳实橘皮桔梗半夏生姜甘草汤方
"方剂组成：橘皮四两生姜半斤
制备方法：右二味，以水七升，煮取三升，去滓，温服一升，下咽即愈。",方剂名称：橘皮汤方
"方剂组成：竹茹二两
栝蒌根二两
茯苓三两
半夏半升
制备方法：右四味，以水五升，煮取三升，分温三服。",方剂名称：竹茹半夏汤方
"方剂组成：甘遂大者三枚 半夏十二枚 芍药五枚 甘草如指大一枚(炙)
制备方法：右四味，以水二升，煮取半升，去滓，以蜜半升和药汁，煎取八合，顿服。",方剂名称：甘遂半夏汤方
"方剂组成：葛根半斤
黄连三两
黄芩三两 甘草二两（炙）
制备方法：右四味，以水八升，先煮葛根减二升，去上沫，纳诸药，煮取二升，去滓，分温再服。",方剂名称：葛根黄连黄芩甘草汤方
"方剂组成：人参三两
干姜三两
白术三两
甘草三两（炙）
制备方法：右四味，以水八升，煮取三升，去滓，温服一升，日三服。",方剂名称：理中汤方
"方剂组成：木防己三两 石膏鸡子大十二枚 桂枝二两 人参四两
制备方法：右四昧，以水六升，煮取二升，去滓，分温再服。",方剂名称：木防己汤方
"方剂组成：升麻二两 当归一两 甘草二两 鳖甲一片
制备方法：右四味，以水二升，煮取一升，去滓，顿服之，不差，再服。",方剂名称：升麻鳖甲去雄黄蜀椒汤方
"方剂组成：当归四两
附子大者一枚（炮去皮破八片）
人参三两
黄连三两
黄柏三两
制备方法：右五味，以水六升，煮取三升，温服一升，日三服。",方剂名称：当归附子汤方
"方剂组成：竹叶两把
石膏半斤（棉裹）
黄芩三两
泽泻二两
半夏半升
甘草二两
制备方法：右六味，以水五升，煮取三升，去滓，温服一升，日三服。",方剂名称：竹叶石膏黄芩泽泻半夏甘草汤方
"方剂组成：甘草二两 麻黄四两
制备方法：右二味，以水五升，先煮麻黄，去上沫，纳甘草，煮取三升，去滓，温服一升，复令汗出，不汗再服。",方剂名称：甘草麻黄汤方
"方剂组成：蜀椒二合去目汗 干姜四两 人参一两 胶饴一升
制备方法：右四味，以水四升先煮三味，取二升，去滓，纳胶饴，微火煮取一升半，分温再服，如一炊顷，可饮粥二升，后更服，当一日食糜粥，温覆之。",方剂名称：大建中汤方
"方剂组成：阿胶三两 地黄六两 芎藭二两 生姜三两(切) 当归三两 芍药三两 甘草二两(炙)
制备方法：右七味，以水五升，清酒三升，先煮六味，取三升，去滓，",方剂名称：胶姜汤方
"方剂组成：黄连一两 半夏半升 括蒌实大者一枚
制备方法：右三味，以水六升，先煮括蒌取三升，纳诸药，煮取二升，去滓，分温三服。",方剂名称：小陷胸汤方
"方剂组成：白头翁二两 黄连三两 柏皮三两 秦皮三两 甘草二两 阿胶二两
制备方法：右六昧，以水五升，先煮五味，取三升，去滓，纳胶烊消，分温三服。",方剂名称：白头翁加甘草阿胶汤方
"方剂组成：知母六两 石膏一斤 甘草二两(炙) 粳米二合 桂枝三两 人参三两
制备方法：右六昧，以水一斗，煮米熟，汤成去滓，温服一升，日三服。",方剂名称：白虎加桂枝人参汤方
"方剂组成：蒲灰
细辛
皂荚
麻黄
制备方法：右四味，等分为末，调和，纳鼻中小许，嚏则愈。",方剂名称：鼻塞方
"方剂组成：白术三两
茯苓四两
厚朴二两（炙去皮）
制备方法：右三味，以水五升，煮取一升五合，去滓，分温再服。",方剂名称：白术茯苓厚朴汤方
"方剂组成：人参三两 白术三两 芍药三两 甘草二两(炙)
制备方法：右四味，以水五升，煮取三升，去滓，温服一升，日三服。",方剂名称：人参白术芍药甘草汤方
"方剂组成：葱白四茎 干姜一两 附子一枚(生用去皮破八片)
制备方法：右三味，以水三升，煮取一升，去滓，分温再服。",方剂名称：白通汤方
"方剂组成：蛇床子一两
制备方法：右一味，末之，以白粉少许，和合相得，如枣大，棉裹纳阴中，自温。",方剂名称：蛇床子散方
"方剂组成：半夏十四枚(洗破如枣核) 鸡子一枚(去黄纳上苦酒著鸡子壳中)
制备方法：右二味，纳半夏，著苦酒中，以鸡子壳，置刀环中，安火上，令三沸，去滓，少少含咽之，不差，更作三剂。",方剂名称：苦酒汤方
"方剂组成：桂枝三两 芍药六两 甘草二两(炙) 生姜三两(切) 大枣十二枚(劈)
制备方法：右五味，以水七升，煮取三升，去滓，温分三服。",方剂名称：桂枝加芍药汤方
"方剂组成：桂枝四两（去皮）
附子二枚（炮）
甘草二两（炙）
生姜三两（切）
大枣十二枚（劈）
制备方法：右五味，以水六升，煮取三升，去滓，分温三服。",方剂名称：桂枝附子汤方
"方剂组成：桂枝三两（去皮）
芍药三两
甘草二两（炙）
生姜三两（切）
大枣十二枚（劈）
制备方法：右五味，〖口父〗咀。以水七升，微火煮取三升，去滓，适寒温，服一升。服已须臾，啜热稀粥一升余，以助药力，温覆令一时许，遍身漐漐，微似有汗者益佳，不可令如水流漓，病必不除。若一服汗出病差，停后服，不必尽剂；若不汗，更服依前法；又不汗，后服小促其间，半日许，令三服尽；若病重者，一日一夜服，周时观之。服一剂尽，病证犹在者，更作服；若汗不出，乃服至二三剂。禁生冷、粘滑、肉面、五辛、酒酪、臭恶等物。",方剂名称：桂枝汤方
"方剂组成：括蒌根 牡蛎(熬)各等分
制备方法：右二味，捣为散，白饮和服方寸匙，日三服。",方剂名称：括蒌牡蛎散方
"方剂组成：大黄十两 黄芩二两 甘草三两 桃仁一升 杏仁一升 芍药四两 地黄十两 干漆一两 虻虫一升 水蛭百枚 蛴螬一升 （庶/虫）虫半升
制备方法：右十二昧，末之，炼蜜和丸，如小豆大，酒饮服五丸，日三服。",方剂名称：大黄（庶/虫）虫丸方
"方剂组成：黄芩三两
石膏半斤（碎）
杏仁十四枚（去皮尖）
甘草一两（炙）
制备方法：右四味，以水五升，煮取三升，去滓，温服一升，日三服。，",方剂名称：黄芩石膏杏子甘草汤方
"方剂组成：栀子十四枚，大黄一两 枳实五枚 豉一升
制备方法：右四味，以水六升，煮取三升，去滓，温服一升，日三服。",方剂名称：栀子大黄汤方
"方剂组成：桂枝三两 芍药三两 知母二两 甘草二两
制备方法：右四味，以水六升，煮取三升，去滓，温服一升，日三眼。",方剂名称：桂枝芍药知母甘草汤方
"方剂组成：甘草二两(炙) 附子大者一枚 干姜一两半 人参二两
制备方法：右四味，捣筛，白饮和服方寸匙，咳者去人参，加五味子，干姜各五分，并主下利；悸者，加桂枝五分；小便不利者，加茯苓五分；泄利下重者，先以水五升，煮薤白三两，取三升，去滓，以散三方寸匙纳汤中，煮取一升半，分温再服。",方剂名称：四逆散方
"方剂组成：括萎实一枚(捣) 薤白半斤 白酒七升
制备方法：右三味，同煮取二升，分温再服。",方剂名称：括蒌薤白白酒汤方
"方剂组成：半夏半升 紫参五两 泽漆三升 生姜五两 人参三两 甘草三两(炙)
制备方法：右六味，以东流水五斗，先煮泽漆，取一斗五升，纳诸药，煮取五升，温服五合，日夜服尽。",方剂名称：泽漆汤方
"方剂组成：当归四两 贝母四两 苦参四两
制备方法：右三味，末之，炼蜜为丸，如小豆大，饮服三丸，日三服。",方剂名称：当归贝母苦参丸方
"方剂组成：黄连三两 甘草三两(炙) 干姜三两 桂枝三两 人参二两 半夏半升(洗) 大枣十二枚(劈)
制备方法：右七味，以水一斗，煮取六升，去滓，温服一升，日三服，夜三服。",方剂名称：黄连汤方
"方剂组成：大黄三两 厚朴三两 枳实三两 半夏一升甘草一两(炙)
制备方法：右五味，以水六升，煮取三升，去滓，温服一升，日三服。",方剂名称：大黄厚朴枳实半夏甘草汤方
"方剂组成：猪苓一两(去皮)茯苓一两 泽泻一两 阿胶一两 滑石一两(碎)
制备方法：右五味，以水四升，先煮四味，取二升，去滓，纳阿胶烊消，温服七合，日三服。",方剂名称：猪苓汤方
"方剂组成：茯苓半斤
桂枝四两
甘草二两（炙）大枣十五枚（劈）
作甘瀾水法，取水二斗，置大盆内，以杓扬之，水上有珠子五六千颗相逐，取用之。
制备方法：右四味，以甘瀾水一斗，先煮茯苓减二升，纳诸药，煮取三升，去滓，温服一升，日三服。",方剂名称：茯苓桂枝甘草大枣汤方
"方剂组成：地黄六两
半夏半升
牡蛎二两
酸枣仁三两
制备方法：右四味，以水四升，煮取二升，分温再服。",方剂名称：地黄半夏牡蛎酸枣仁汤方
"方剂组成：茯苓半斤 泽泻四两 甘草二两 桂枝二两 白术三两 生姜四两
制备方法：右六味，以水一斗，煮取三升，去滓，温服一升，日三服。",方剂名称：茯苓泽泻汤方
"方剂组成：水蛭三十个（熬）
虻虫三十个（去翅足熬）
桃仁二十个（去皮尖）大黄三两（酒洗）
制备方法：右四味，以水五升，煮取三升，去滓，温服一升，不下更服。",方剂名称：抵当汤方
"方剂组成：狼牙三两
制备方法：右一味，以水四升，煮取半升，去滓，以绵缠箸如茧大，浸汤沥阴中，洗之，日四遍。",方剂名称：狼牙汤方
"方剂组成：黄连一两
黄芩一两
阿胶一两
甘草一两
制备方法：右四味，以水一斗，先煮三味，取四升，去滓，纳胶烊消，分温三服。",方剂名称：黄连黄芩阿胶甘草汤方
"方剂组成：半夏(洗) 桂枝 甘草(炙)
制备方法：右三味，等分，各别捣筛已，合治之，白饮和服方寸匙，日三服，若不能散服者，以水一升煎七沸，纳散两方寸匙，更煎三沸，下火令小冷，少少咽之。",方剂名称：半夏散方
"方剂组成：桔梗三两
甘草二两
枳实四枚
芍药三两
地黄三两
牡丹皮二两
制备方法：右六味，以水六升，煮取三升，去滓，温服一升，日三服。",方剂名称：桔梗甘草枳实芍药加地黄牡丹汤方
